domestic,name,production_budget,release_year,worldwide
"$52,698,535",Diary of a Wimpy Kid: Rodrick Rules,"$18,000,000",2011,"$73,695,194"
"$51,973,029",Amadeus,"$18,000,000",1984,"$51,973,029"
"$43,869,350",Prom Night,"$18,000,000",2008,"$57,193,655"
"$43,853,424",Soul Surfer,"$18,000,000",2011,"$47,158,652"
"$8,005,586",Robinson Crusoe,"$13,000,000",2016,"$42,446,455"
"$7,881,335",Serial Mom,"$13,000,000",1994,"$7,881,335"
"$6,276,869",Dick,"$13,000,000",1999,"$6,276,869"
"$5,871,603",Light It Up,"$13,000,000",1999,"$5,871,603"
"$9,821,335",3 Strikes,"$4,000,000",2000,"$9,821,335"
"$9,427,026",The Visitor,"$4,000,000",2008,"$19,174,817"
"$8,291,572",The Cooler,"$4,000,000",2003,"$11,131,455"
"$8,200,000",The Misfits,"$4,000,000",1961,"$8,200,000"
"$13,542,874",Shaun of the Dead,"$5,000,000",2004,"$30,332,385"
"$13,442,412",The Haunting of Molly Hartley,"$5,000,000",2008,"$15,318,257"
"$13,099,931",Hillaryâ€™s America: The Secret History of the Democratic Party,"$5,000,000",2016,"$13,099,931"
"$890,303",Believe,"$3,500,000",2016,"$890,303"
"$886,410",La otra conquista,"$3,500,000",2000,"$886,410"
"$663,247",American Honey,"$3,500,000",2016,"$2,611,750"
"$615,816",The Bronze,"$3,500,000",2016,"$615,816"
$0,Let's Kill Ward's Wife,"$5,000,000",2015,$0
$0,Capricorn One,"$5,000,000",2015,$0
"$9,639,390",Belly,"$3,000,000",1998,"$9,639,390"
"$9,017,070",Trippinâ€™,"$3,000,000",1999,"$9,017,070"
"$9,012,000",Red River,"$3,000,000",1948,"$9,012,000"
"$8,823,109",The Deep End,"$3,000,000",2001,"$9,981,635"
"$2,025,032",The Work and the Glory: American Zion,"$6,500,000",2005,"$2,025,032"
"$1,109,660",The Messenger,"$6,500,000",2009,"$1,744,952"
"$1,029,017",A Home at the End of the World,"$6,500,000",2004,"$1,033,810"
"$64,148",Aberdeen,"$6,500,000",2001,"$64,148"
$0,Tracker,"$6,500,000",2011,"$3,149"
"$8,000,000",A Streetcar Named Desire,"$1,800,000",1951,"$8,000,000"
"$6,800,000",Hang 'em High,"$1,800,000",1968,"$6,800,000"
